ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,resp_pkts,anon_orig,anon_resp
2019-12-24T20:19:18.532520Z,CaHYaBwHcdUU8SAn2,123.135.127.85,58167,181.230.217.138,22,tcp,-,0.236382,0,0,RSTO,4,2,none,uva
2019-12-24T20:19:55.567514Z,CSHI5u2UbMXDOzFmbg,123.135.127.85,58167,181.230.217.145,22,tcp,-,0.235847,0,0,RSTO,4,2,none,uva
2019-12-24T20:20:05.675338Z,CpOhcbPtcwCYqWvHl,123.135.127.85,58167,181.230.217.40,22,tcp,-,0.238498,0,0,RSTO,4,2,none,uva
2019-12-24T20:26:02.738509Z,Ce05Bl3mPAMxBD21cc,123.135.127.85,58167,181.230.7.104,22,tcp,-,0.262156,0,0,RSTO,4,2,none,uva
2019-12-24T20:27:30.502359Z,CDBQzR36SaEgryXGfd,123.135.127.85,58167,181.230.7.70,22,tcp,-,0.464512,0,0,RSTO,4,2,none,uva
2019-12-24T20:33:04.091436Z,Cl4q1Y2cvCXjCIJA4c,123.135.127.85,58167,181.230.210.231,22,tcp,-,0.259226,0,0,RSTO,4,2,none,uva
2019-12-24T20:34:34.532967Z,CrGw4t35hZMvug7KEe,123.135.127.85,58167,181.230.20.159,22,tcp,-,0.235107,0,0,RSTO,4,2,none,uva
2019-12-24T20:35:11.540283Z,CXlxrv2LGjauZTY806,123.135.127.85,58167,181.230.20.188,22,tcp,-,0.240412,0,0,RSTO,4,2,none,uva
2019-12-24T20:35:30.406041Z,CxlCA723NokuFDAdcl,123.135.127.85,58167,181.230.188.107,22,tcp,-,0.242824,0,0,RSTO,4,2,none,uva
2019-12-24T20:35:40.973514Z,C58gXH2QKFcr2nhge9,123.135.127.85,58167,181.230.188.69,22,tcp,-,0.254865,0,0,RSTO,4,2,none,uva
2019-12-24T20:35:44.331847Z,Ct9Guh4rzv1ONCYYA3,123.135.127.85,58167,181.230.188.120,22,tcp,-,0.252046,0,0,RSTO,4,2,none,uva
2019-12-24T20:35:44.819342Z,Ck2nil3SLUK5nIfyfk,123.135.127.85,58167,181.230.188.121,22,tcp,-,0.240416,0,0,RSTO,4,2,none,uva
2019-12-24T20:35:55.863657Z,C9BvWT2tIScPDxSvof,123.135.127.85,58167,181.230.188.122,22,tcp,-,0.238856,0,0,RSTO,4,2,none,uva
2019-12-24T20:36:28.037998Z,CaLR1f1MXUKjgsTAGb,123.135.127.85,58167,181.230.188.125,22,tcp,-,0.236446,0,0,RSTO,4,2,none,uva
2019-12-24T20:36:55.945279Z,CNJwHT3J0TvR5GzBBj,123.135.127.85,58167,181.230.45.171,22,tcp,-,0.254655,0,0,RSTO,4,2,none,uva
2019-12-24T20:38:33.132792Z,CZg3TV3GY2FmScCbAf,123.135.127.85,58167,181.230.17.205,22,tcp,-,0.237271,0,0,RSTO,4,2,none,uva
2019-12-24T20:41:29.243675Z,CDevxW1gUiu8fvY1h3,123.135.127.85,58167,181.230.20.255,22,tcp,-,0.237552,0,0,RSTO,4,2,none,uva
2019-12-24T20:41:48.474890Z,CNwS5n1YgqxEir7Zyf,123.135.127.85,58167,181.230.116.53,22,tcp,-,0.233406,0,0,RSTO,4,2,none,uva
2019-12-24T20:48:20.930011Z,CEnbhA3PK2Xcfmufee,123.135.127.85,58167,181.230.35.174,22,tcp,-,0.264063,0,0,RSTO,4,2,none,uva
2019-12-24T20:54:17.714763Z,CpWSCZ2uAuA5DluJYb,123.135.127.85,58167,181.230.1.84,22,tcp,-,0.247943,0,0,RSTO,4,2,none,uva
2019-12-24T20:54:31.633430Z,Cg7WKD1Y4OVb2QIOrj,123.135.127.85,58167,181.230.1.74,22,tcp,-,0.242206,0,0,RSTO,4,2,none,uva
2019-12-24T20:54:45.075275Z,CCVIB3V0MjoO9kGHd,123.135.127.85,58167,181.230.4.170,22,tcp,-,0.237668,0,0,RSTO,4,2,none,uva
2019-12-24T20:57:15.938811Z,Cg74Z52Vkd1LuRp6S9,123.135.127.85,58167,181.230.45.178,22,tcp,-,0.245349,0,0,RSTO,4,2,none,uva
2019-12-24T20:57:38.513277Z,CVYahA3zpGGBR4L6cg,123.135.127.85,58167,181.230.45.198,22,tcp,-,0.241402,0,0,RSTO,4,2,none,uva
2019-12-24T20:59:28.737919Z,C4YPrd4ltssSKas1k,123.135.127.85,58167,181.230.29.50,22,tcp,-,0.234167,0,0,RSTO,4,2,none,uva
2019-12-24T21:02:26.973161Z,Cm6Uji1bkCW5MFImzd,123.135.127.85,58167,181.230.60.47,22,tcp,-,0.236541,0,0,RSTO,4,2,none,uva
2019-12-24T21:02:43.699250Z,CbbB5O3MFpUmajElkc,123.135.127.85,58167,181.230.80.106,22,tcp,-,0.235635,0,0,RSTO,4,2,none,uva
2019-12-24T21:03:50.594660Z,CT5UNP1ub2PvoFRn7e,123.135.127.85,58167,181.230.82.94,22,tcp,-,0.238758,0,0,RSTO,4,2,none,uva
2019-12-24T21:05:14.939649Z,C6hhKl1CN96uu1ofPj,123.135.127.85,58167,181.230.217.168,22,tcp,-,0.237671,0,0,RSTO,4,2,none,uva
2019-12-24T21:05:52.475196Z,C2oBZr3qmqHt2Bw0Xc,123.135.127.85,58167,181.230.217.250,22,tcp,-,0.253848,0,0,RSTO,4,2,none,uva
2019-12-24T21:06:00.782207Z,C8MTVPvM2WmGvwVwj,123.135.127.85,58167,181.230.82.193,22,tcp,-,0.241488,0,0,RSTO,4,2,none,uva
2019-12-24T21:06:05.575267Z,CzJYaB13JrDXGDZeyd,123.135.127.85,58167,181.230.217.231,22,tcp,-,0.235227,0,0,RSTO,4,2,none,uva
2019-12-24T21:06:23.850594Z,Czetxe3oz1HeBUJngc,123.135.127.85,58167,181.230.217.255,22,tcp,-,0.242193,0,0,RSTO,4,2,none,uva
2019-12-24T21:07:00.914190Z,CGW96F2Q9LBep3Sila,123.135.127.85,58167,181.230.217.239,22,tcp,-,0.24372,0,0,RSTO,4,2,none,uva
2019-12-24T21:22:17.046954Z,CSd5DA4xo6QewfUUX8,123.135.127.85,58167,181.230.22.21,22,tcp,-,0.261114,0,0,RSTO,4,2,none,uva
2019-12-24T21:22:55.707878Z,CtZwhAqQ0CtTZME5e,123.135.127.85,58167,181.230.23.237,22,tcp,-,0.239737,0,0,RSTO,4,2,none,uva
2019-12-24T21:23:47.895520Z,CxEXwq3weD6u3wCCBg,123.135.127.85,58167,199.79.93.101,22,tcp,-,0.242192,0,0,RSTO,4,2,none,uva
2019-12-24T21:24:04.835323Z,Cfcfp54BJWVornYY3f,123.135.127.85,58167,181.230.22.20,22,tcp,-,0.238062,0,0,RSTO,4,2,none,uva
2019-12-24T21:24:23.126690Z,CNDFIg4BUnHrs3Jc4c,123.135.127.85,58167,181.230.22.233,22,tcp,-,0.262666,0,0,RSTO,4,2,none,uva
2019-12-24T21:24:29.116683Z,CgYHmRixvtoIk2LJ2,123.135.127.85,58167,181.230.98.8,22,tcp,-,0.236161,0,0,RSTO,4,2,none,uva
2019-12-24T21:24:32.001967Z,ChH4ni4Rn0aVdl6Mk8,123.135.127.85,58167,181.230.22.55,22,tcp,-,0.242523,0,0,RSTO,4,2,none,uva
2019-12-24T21:24:43.921197Z,CiGPrA3Rwcg4wmaWz3,123.135.127.85,58167,199.79.93.24,22,tcp,-,0.234621,0,0,RSTO,4,2,none,uva
2019-12-24T21:27:43.331594Z,CBlNaHrbiVRKJDMX4,123.135.127.85,58167,181.230.115.94,22,tcp,-,0.237965,0,0,RSTO,4,2,none,uva
2019-12-24T21:30:16.468978Z,Cqct9W2POVN2s9fx8a,123.135.127.85,58167,181.230.230.243,22,tcp,-,0.237241,0,0,RSTO,4,2,none,uva
2019-12-24T21:30:55.842777Z,CZyY6Accv1GFaAjg5,123.135.127.85,58167,181.230.91.130,22,tcp,-,0.254258,0,0,RSTO,4,2,none,uva
2019-12-24T21:34:42.679019Z,CLQSFf4cHLeMg8jpF1,123.135.127.85,58167,181.230.46.235,22,tcp,-,0.25316,0,0,RSTO,4,2,none,uva
2019-12-24T21:42:24.356228Z,CNJvs54hTqrfI5oLo7,123.135.127.85,58167,181.230.91.56,22,tcp,-,0.237466,0,0,RSTO,4,2,none,uva
2019-12-24T21:46:22.486792Z,CVD2ttv8rmmLKkf37,123.135.127.85,58167,181.230.54.249,22,tcp,-,0.242038,0,0,RSTO,4,2,none,uva
2019-12-24T21:48:39.145751Z,CN2dcm4lUCPOyoCFGk,123.135.127.85,58167,181.230.82.204,22,tcp,-,0.241541,0,0,RSTO,4,2,none,uva
2019-12-24T21:49:00.788101Z,CBm1jNRHsVNtLTUdl,123.135.127.85,58167,181.230.82.208,22,tcp,-,0.263829,0,0,RSTO,4,2,none,uva
2019-12-24T21:49:16.219979Z,CeCEQQ05yjqWa033e,123.135.127.85,58167,181.230.82.123,22,tcp,-,0.23952,0,0,RSTO,4,2,none,uva
2019-12-24T21:49:53.249249Z,CFuHoK1kQI220Hku87,123.135.127.85,58167,181.230.82.169,22,tcp,-,0.233407,0,0,RSTO,4,2,none,uva
2019-12-24T21:53:47.973000Z,Cq1eqW1E1cMPow2RUe,123.135.127.85,58167,181.230.93.155,22,tcp,-,0.239927,0,0,RSTO,4,2,none,uva
2019-12-24T21:55:00.804849Z,CHFqhE2fdeoH0oRxsc,123.135.127.85,58167,181.230.7.207,22,tcp,-,0.250566,0,0,RSTO,4,2,none,uva
