ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,resp_pkts,anon_orig,anon_resp
1577387755.575051,CNtRcfou2WuOSQYl2,123.135.127.85,46494,181.209.163.173,22,tcp,-,0.243676,0,0,RSTO,2,1,none,vt
1577388655.910735,CiHqUC4xAwFVnF5Vhd,123.135.127.85,46494,192.81.228.170,22,tcp,-,0.245855,0,0,RSTO,2,1,none,vt
1577389176.649862,CVkJLS3R02yN9uNSAd,123.135.127.85,46494,192.81.252.244,22,tcp,-,0.251089,0,0,RSTO,2,1,none,vt
1577389433.256532,CAaM0M1DPrWlhpXY5,123.135.127.85,46494,192.81.221.227,22,tcp,-,0.252795,0,0,RSTO,2,1,none,vt
1577389434.944193,CAzsi6SoGdNyLLr81,123.135.127.85,46494,181.209.188.247,22,tcp,-,0.23873,0,0,RSTO,2,1,none,vt
1577391245.877234,CbCBXa9A2JzhovKa,123.135.127.85,46494,181.209.78.49,22,tcp,-,0.237408,0,0,RSTO,2,1,none,vt
1577391259.598724,C2p5UjVL8GlJuQbg6,123.135.127.85,46494,181.209.78.103,22,tcp,-,0.24803,0,0,RSTO,2,1,none,vt
1577391260.516702,CxV4dp2YiVS86lHjrb,123.135.127.85,46494,181.209.78.167,22,tcp,-,0.237021,0,0,RSTO,2,1,none,vt
1577391312.292589,Ce6kmEybWJLGI2p07,123.135.127.85,46494,181.209.78.172,22,tcp,-,0.253375,0,0,RSTO,2,1,none,vt
1577392371.192264,Ch1q4U54CSDDhiZt4,123.135.127.85,46494,181.209.235.130,22,tcp,-,0.249481,0,0,RSTO,2,1,none,vt
1577392382.181632,CzhXBX3TuH3FVrGWN6,123.135.127.85,46494,181.209.235.199,22,tcp,-,0.239969,0,0,RSTO,2,1,none,vt
1577392415.197214,Cx71i11TNcCXpySkN1,123.135.127.85,46494,181.209.235.218,22,tcp,-,0.240191,0,0,RSTO,2,1,none,vt
1577392686.71133,CQx2jlYPpA2KDxAg6,123.135.127.85,46494,181.209.235.125,22,tcp,-,0.25579,0,0,RSTO,2,1,none,vt
1577392714.082497,C2VH0D2dIeUOGpDYTd,123.135.127.85,46494,181.209.235.166,22,tcp,-,0.250511,0,0,RSTO,2,1,none,vt
1577392768.580736,CnA8BB2RGwLuCHuHI4,123.135.127.85,46494,181.209.235.93,22,tcp,-,0.24448,0,0,RSTO,2,1,none,vt
